Date,Close,High,Low,Open,Volume
2/29/2024,190.6690063,190.75,189.0559998,190.75,0
3/1/2024,189.4830017,190.3739929,189.4730072,189.4830017,0
3/4/2024,190.0299988,191.1849976,189.7870026,190.0299988,0
3/5/2024,190.9320068,191.0189972,190.4100037,190.9320068,0
3/6/2024,190.6199951,190.6759949,189.8760071,190.6199951,0
3/7/2024,190.0910034,190.0910034,188.2310028,190.0910034,0
3/8/2024,189.4649963,189.6869965,188.3919983,189.4649963,0
3/11/2024,188.6709747,188.9629974,187.9660034,188.6709747,0
3/12/2024,188.0970001,189.1809998,187.9909973,188.0970001,0
3/13/2024,188.871994,189.5180054,188.4309998,188.871994,0
3/14/2024,188.9400024,189.5050049,188.6580048,188.9400024,0
3/15/2024,188.9989929,189.9859924,188.5970001,188.9989929,0
3/18/2024,189.6300049,190.1419983,189.6231079,189.6300049,0
3/19/2024,189.8040009,191.6450043,189.7200012,189.8040009,0
3/20/2024,192.095993,192.8249969,192.052002,192.095993,0
3/21/2024,192.9360046,193.477005,191.9060059,192.9360046,0
3/22/2024,191.9750061,192.1829987,190.4060059,191.9750061,0
3/25/2024,190.6777191,191.4920044,190.6000061,190.6777191,0
3/26/2024,191.2839966,191.6710052,191.1210022,191.2839966,0
3/27/2024,191.2180023,191.6100006,190.5140076,191.2180023,0
3/28/2024,190.8099976,191.2559967,190.5659943,190.8099976,0
3/29/2024,191.1529999,191.2030029,190.7700043,191.1529999,0
4/1/2024,191.3000031,191.3329926,190.2850037,191.3000031,0
4/2/2024,190.1719971,190.7050018,190.0720062,190.1719971,0
4/3/2024,190.5800018,191.6699982,190.4290009,190.5800018,0
4/4/2024,191.7610016,192.2369995,191.7220001,191.7610016,0
4/5/2024,191.2299957,191.526001,190.6950073,191.2299957,0
4/8/2024,191.5,192.1309967,191.3690033,191.5,0
4/9/2024,192.1849976,192.822998,192.1089935,192.1849976,0
4/10/2024,192.3999939,192.8880005,191.6719971,192.3999939,0
